combined_image_path,label
Combined_Dataset/open_eye_yawn/sample_0000.jpg,1
Combined_Dataset/open_eye_yawn/sample_0001.jpg,1
Combined_Dataset/open_eye_yawn/sample_0002.jpg,1
Combined_Dataset/open_eye_yawn/sample_0003.jpg,1
Combined_Dataset/open_eye_yawn/sample_0004.jpg,1
Combined_Dataset/open_eye_yawn/sample_0005.jpg,1
Combined_Dataset/open_eye_yawn/sample_0006.jpg,1
Combined_Dataset/open_eye_yawn/sample_0007.jpg,1
Combined_Dataset/open_eye_yawn/sample_0008.jpg,1
Combined_Dataset/open_eye_yawn/sample_0009.jpg,1
Combined_Dataset/open_eye_yawn/sample_0010.jpg,1
Combined_Dataset/open_eye_yawn/sample_0011.jpg,1
Combined_Dataset/open_eye_yawn/sample_0012.jpg,1
Combined_Dataset/open_eye_yawn/sample_0013.jpg,1
Combined_Dataset/open_eye_yawn/sample_0014.jpg,1
Combined_Dataset/open_eye_yawn/sample_0015.jpg,1
Combined_Dataset/open_eye_yawn/sample_0016.jpg,1
Combined_Dataset/open_eye_yawn/sample_0017.jpg,1
Combined_Dataset/open_eye_yawn/sample_0018.jpg,1
Combined_Dataset/open_eye_yawn/sample_0019.jpg,1
Combined_Dataset/open_eye_yawn/sample_0020.jpg,1
Combined_Dataset/open_eye_yawn/sample_0021.jpg,1
Combined_Dataset/open_eye_yawn/sample_0022.jpg,1
Combined_Dataset/open_eye_yawn/sample_0023.jpg,1
Combined_Dataset/open_eye_yawn/sample_0024.jpg,1
Combined_Dataset/open_eye_yawn/sample_0025.jpg,1
Combined_Dataset/open_eye_yawn/sample_0026.jpg,1
Combined_Dataset/open_eye_yawn/sample_0027.jpg,1
Combined_Dataset/open_eye_yawn/sample_0028.jpg,1
Combined_Dataset/open_eye_yawn/sample_0029.jpg,1
Combined_Dataset/open_eye_yawn/sample_0030.jpg,1
Combined_Dataset/open_eye_yawn/sample_0031.jpg,1
Combined_Dataset/open_eye_yawn/sample_0032.jpg,1
Combined_Dataset/open_eye_yawn/sample_0033.jpg,1
Combined_Dataset/open_eye_yawn/sample_0034.jpg,1
Combined_Dataset/open_eye_yawn/sample_0035.jpg,1
Combined_Dataset/open_eye_yawn/sample_0036.jpg,1
Combined_Dataset/open_eye_yawn/sample_0037.jpg,1
Combined_Dataset/open_eye_yawn/sample_0038.jpg,1
Combined_Dataset/open_eye_yawn/sample_0039.jpg,1
Combined_Dataset/open_eye_yawn/sample_0040.jpg,1
Combined_Dataset/open_eye_yawn/sample_0041.jpg,1
Combined_Dataset/open_eye_yawn/sample_0042.jpg,1
Combined_Dataset/open_eye_yawn/sample_0043.jpg,1
Combined_Dataset/open_eye_yawn/sample_0044.jpg,1
Combined_Dataset/open_eye_yawn/sample_0045.jpg,1
Combined_Dataset/open_eye_yawn/sample_0046.jpg,1
Combined_Dataset/open_eye_yawn/sample_0047.jpg,1
Combined_Dataset/open_eye_yawn/sample_0048.jpg,1
Combined_Dataset/open_eye_yawn/sample_0049.jpg,1
Combined_Dataset/open_eye_yawn/sample_0050.jpg,1
Combined_Dataset/open_eye_yawn/sample_0051.jpg,1
Combined_Dataset/open_eye_yawn/sample_0052.jpg,1
Combined_Dataset/open_eye_yawn/sample_0053.jpg,1
Combined_Dataset/open_eye_yawn/sample_0054.jpg,1
Combined_Dataset/open_eye_yawn/sample_0055.jpg,1
Combined_Dataset/open_eye_yawn/sample_0056.jpg,1
Combined_Dataset/open_eye_yawn/sample_0057.jpg,1
Combined_Dataset/open_eye_yawn/sample_0058.jpg,1
Combined_Dataset/open_eye_yawn/sample_0059.jpg,1
Combined_Dataset/open_eye_yawn/sample_0060.jpg,1
Combined_Dataset/open_eye_yawn/sample_0061.jpg,1
Combined_Dataset/open_eye_yawn/sample_0062.jpg,1
Combined_Dataset/open_eye_yawn/sample_0063.jpg,1
Combined_Dataset/open_eye_yawn/sample_0064.jpg,1
Combined_Dataset/open_eye_yawn/sample_0065.jpg,1
Combined_Dataset/open_eye_yawn/sample_0066.jpg,1
Combined_Dataset/open_eye_yawn/sample_0067.jpg,1
Combined_Dataset/open_eye_yawn/sample_0068.jpg,1
Combined_Dataset/open_eye_yawn/sample_0069.jpg,1
Combined_Dataset/open_eye_yawn/sample_0070.jpg,1
Combined_Dataset/open_eye_yawn/sample_0071.jpg,1
Combined_Dataset/open_eye_yawn/sample_0072.jpg,1
Combined_Dataset/open_eye_yawn/sample_0073.jpg,1
Combined_Dataset/open_eye_yawn/sample_0074.jpg,1
Combined_Dataset/open_eye_yawn/sample_0075.jpg,1
Combined_Dataset/open_eye_yawn/sample_0076.jpg,1
Combined_Dataset/open_eye_yawn/sample_0077.jpg,1
Combined_Dataset/open_eye_yawn/sample_0078.jpg,1
Combined_Dataset/open_eye_yawn/sample_0079.jpg,1
Combined_Dataset/open_eye_yawn/sample_0080.jpg,1
Combined_Dataset/open_eye_yawn/sample_0081.jpg,1
Combined_Dataset/open_eye_yawn/sample_0082.jpg,1
Combined_Dataset/open_eye_yawn/sample_0083.jpg,1
Combined_Dataset/open_eye_yawn/sample_0084.jpg,1
Combined_Dataset/open_eye_yawn/sample_0085.jpg,1
Combined_Dataset/open_eye_yawn/sample_0086.jpg,1
Combined_Dataset/open_eye_yawn/sample_0087.jpg,1
Combined_Dataset/open_eye_yawn/sample_0088.jpg,1
Combined_Dataset/open_eye_yawn/sample_0089.jpg,1
Combined_Dataset/open_eye_yawn/sample_0090.jpg,1
Combined_Dataset/open_eye_yawn/sample_0091.jpg,1
Combined_Dataset/open_eye_yawn/sample_0092.jpg,1
Combined_Dataset/open_eye_yawn/sample_0093.jpg,1
Combined_Dataset/open_eye_yawn/sample_0094.jpg,1
Combined_Dataset/open_eye_yawn/sample_0095.jpg,1
Combined_Dataset/open_eye_yawn/sample_0096.jpg,1
Combined_Dataset/open_eye_yawn/sample_0097.jpg,1
Combined_Dataset/open_eye_yawn/sample_0098.jpg,1
Combined_Dataset/open_eye_yawn/sample_0099.jpg,1
